職位名稱,公司名稱,地區,工作詳情,發佈時間,網址
2324年度代課老師,S.K.H St. John Tsang Shiu Tim Primary School,Kwun Tong,,1d ago,"=HYPERLINK(""https://hk.jobsdb.com//hk/en/job/2324%E5%B9%B4%E5%BA%A6%E4%BB%A3%E8%AA%B2%E8%80%81%E5%B8%AB-100003010573133?token=0~ab913247-de6b-4ddb-9366-f0c3d518ca40&sectionRank=1&jobId=jobsdb-hk-job-100003010573133"", ""2324年度代課老師 工作網址連結"")"
全職私人補習老師,Aussco Hong Kong Limited,Causeway Bay,,1d ago,"=HYPERLINK(""https://hk.jobsdb.com//hk/en/job/%E5%85%A8%E8%81%B7%E7%A7%81%E4%BA%BA%E8%A3%9C%E7%BF%92%E8%80%81%E5%B8%AB-100003010574066?token=0~ab913247-de6b-4ddb-9366-f0c3d518ca40&sectionRank=2&jobId=jobsdb-hk-job-100003010574066"", ""全職私人補習老師 工作網址連結"")"
全職小學/中學功課輔導班老師(九龍灣),Sage World Group Limited,Kwun Tong Area,,1d ago,"=HYPERLINK(""https://hk.jobsdb.com//hk/en/job/%E5%85%A8%E8%81%B7%E5%B0%8F%E5%AD%B8-%E4%B8%AD%E5%AD%B8%E5%8A%9F%E8%AA%B2%E8%BC%94%E5%B0%8E%E7%8F%AD%E8%80%81%E5%B8%AB-%E4%B9%9D%E9%BE%8D%E7%81%A3-100003010571689?token=0~ab913247-de6b-4ddb-9366-f0c3d518ca40&sectionRank=3&jobId=jobsdb-hk-job-100003010571689"", ""全職小學/中學功課輔導班老師(九龍灣) 工作網址連結"")"
幼稚園教學助理,Mynors International Kindergarten,North Point,,1d ago,"=HYPERLINK(""https://hk.jobsdb.com//hk/en/job/%E5%B9%BC%E7%A8%9A%E5%9C%92%E6%95%99%E5%AD%B8%E5%8A%A9%E7%90%86-100003010573053?token=0~ab913247-de6b-4ddb-9366-f0c3d518ca40&sectionRank=4&jobId=jobsdb-hk-job-100003010573053"", ""幼稚園教學助理 工作網址連結"")"
"下午小學導師 (觀塘安達)/Primary School Tutor (p.m.) (On Tat Estate, Kwun Tong)",Glorious Path Limited,Kwun Tong Area,,2d ago,"=HYPERLINK(""https://hk.jobsdb.com//hk/en/job/%E4%B8%8B%E5%8D%88%E5%B0%8F%E5%AD%B8%E5%B0%8E%E5%B8%AB-%E8%A7%80%E5%A1%98%E5%AE%89%E9%81%94-primary-school-tutor-p.m.-on-tat-estate-kwun-tong-100003010569533?token=0~ab913247-de6b-4ddb-9366-f0c3d518ca40&sectionRank=5&jobId=jobsdb-hk-job-100003010569533"", ""下午小學導師 (觀塘安達)/Primary School Tutor (p.m.) (On Tat Estate, Kwun Tong) 工作網址連結"")"
小學導師 (5/6日) (觀塘)/Primary School Tutor (5/6days) ( Kwun Tong),Glorious Path Limited,Kwun Tong Area,,2d ago,"=HYPERLINK(""https://hk.jobsdb.com//hk/en/job/%E5%B0%8F%E5%AD%B8%E5%B0%8E%E5%B8%AB-5-6%E6%97%A5-%E8%A7%80%E5%A1%98-primary-school-tutor-5-6days-kwun-tong-100003010569644?token=0~ab913247-de6b-4ddb-9366-f0c3d518ca40&sectionRank=6&jobId=jobsdb-hk-job-100003010569644"", ""小學導師 (5/6日) (觀塘)/Primary School Tutor (5/6days) ( Kwun Tong) 工作網址連結"")"
Teacher 幼兒教師 〈中心服務〉〈灣仔〉,Heep Hong Society,Wan Chai,,6d ago,"=HYPERLINK(""https://hk.jobsdb.com//hk/en/job/teacher-%E5%B9%BC%E5%85%92%E6%95%99%E5%B8%AB-%E3%80%88%E4%B8%AD%E5%BF%83%E6%9C%8D%E5%8B%99%E3%80%89%E3%80%88%E7%81%A3%E4%BB%94%E3%80%89-100003010560641?token=0~ab913247-de6b-4ddb-9366-f0c3d518ca40&sectionRank=7&jobId=jobsdb-hk-job-100003010560641"", ""Teacher 幼兒教師 〈中心服務〉〈灣仔〉 工作網址連結"")"
教學助理,Hong Kong Taoist Association Tang Hin Memorial Secondary School,North Point,,1d ago,"=HYPERLINK(""https://hk.jobsdb.com//hk/en/job/%E6%95%99%E5%AD%B8%E5%8A%A9%E7%90%86-100003010572610?token=0~ab913247-de6b-4ddb-9366-f0c3d518ca40&sectionRank=8&jobId=jobsdb-hk-job-100003010572610"", ""教學助理 工作網址連結"")"
中文科助理教師 (任教初中中文),S.K.H. Leung Kwai Yee Secondary School,Kwun Tong,,12d ago,"=HYPERLINK(""https://hk.jobsdb.com//hk/en/job/%E4%B8%AD%E6%96%87%E7%A7%91%E5%8A%A9%E7%90%86%E6%95%99%E5%B8%AB-%E4%BB%BB%E6%95%99%E5%88%9D%E4%B8%AD%E4%B8%AD%E6%96%87-100003010547028?token=0~ab913247-de6b-4ddb-9366-f0c3d518ca40&sectionRank=9&jobId=jobsdb-hk-job-100003010547028"", ""中文科助理教師 (任教初中中文) 工作網址連結"")"
功課輔導班導師,Bright Kids Learning Limited,Wan Chai,,1d ago,"=HYPERLINK(""https://hk.jobsdb.com//hk/en/job/%E5%8A%9F%E8%AA%B2%E8%BC%94%E5%B0%8E%E7%8F%AD%E5%B0%8E%E5%B8%AB-100003010572932?token=0~ab913247-de6b-4ddb-9366-f0c3d518ca40&sectionRank=10&jobId=jobsdb-hk-job-100003010572932"", ""功課輔導班導師 工作網址連結"")"
